step,split,loss
351,train,2.094239
352,train,2.103089
353,train,2.084781
354,train,2.117370
355,train,2.106783
356,train,2.095442
357,train,2.073274
358,train,2.081542
359,train,2.107299
360,train,2.100304
361,train,2.066386
362,train,2.076621
363,train,2.044126
364,train,2.073095
365,train,2.089773
366,train,2.048279
367,train,2.074982
368,train,2.048303
369,train,2.044921
370,train,2.027574
371,train,2.040602
372,train,2.036366
373,train,2.009910
374,train,2.014275
375,train,2.051666
376,train,2.018887
377,train,2.033637
378,train,2.039719
379,train,1.988393
380,train,2.004834
381,train,1.997215
382,train,2.019490
383,train,1.990941
384,train,2.007773
385,train,1.969306
386,train,1.973147
387,train,1.980289
388,train,1.987773
389,train,1.992057
390,train,1.948871
391,train,1.933576
392,train,1.954754
393,train,1.952664
394,train,1.957530
395,train,1.960850
396,train,1.936515
397,train,1.952559
398,train,1.958689
399,train,1.947636
400,train,1.952426
400,val,1.933805
401,train,1.934746
402,train,1.947985
403,train,1.931697
404,train,1.935131
405,train,1.949503
406,train,1.892388
407,train,1.890160
408,train,1.915616
409,train,1.931432
410,train,1.891522
411,train,1.913027
412,train,1.923733
413,train,1.893120
414,train,1.905548
415,train,1.882735
416,train,1.886031
417,train,1.900530
418,train,1.876675
419,train,1.908731
420,train,1.844989
421,train,1.862905
422,train,1.874337
423,train,1.892100
424,train,1.844488
425,train,1.875268
426,train,1.879907
427,train,1.877437
428,train,1.840332
429,train,1.847991
430,train,1.851010
431,train,1.854957
432,train,1.852999
433,train,1.849750
434,train,1.865131
435,train,1.826723
436,train,1.819978
437,train,1.827044
438,train,1.842894
439,train,1.821761
440,train,1.828425
441,train,1.814922
442,train,1.831257
443,train,1.822729
444,train,1.843911
445,train,1.807770
446,train,1.775073
447,train,1.808008
448,train,1.801162
449,train,1.824008
450,train,1.795190
451,train,1.821738
452,train,1.802967
453,train,1.798679
454,train,1.796084
455,train,1.797046
456,train,1.799261
457,train,1.759805
458,train,1.792703
459,train,1.784945
460,train,1.752923
461,train,1.780984
462,train,1.794217
463,train,1.751488
464,train,1.782428
465,train,1.773530
466,train,1.759965
467,train,1.760991
468,train,1.779548
469,train,1.742782
470,train,1.761284
471,train,1.747121
472,train,1.761419
