step,split,loss,lr
0,train,9.173933,0.21
1,train,7.240661,0.21
2,train,26.150906,0.21
3,train,11.238110,0.21
4,train,17.462666,0.21
5,train,19.429688,0.21
6,train,19.648375,0.21
7,train,16.464954,0.21
8,train,11.395819,0.21
9,train,7.302773,0.21
10,train,13.502815,0.21
11,train,5.761764,0.21
12,train,6.280321,0.21
13,train,5.650407,0.21
14,train,5.394526,0.21
15,train,4.991624,0.21
16,train,4.738014,0.21
17,train,4.566605,0.21
18,train,4.412799,0.21
19,train,4.367583,0.21
20,train,4.354712,0.21
21,train,4.306252,0.21
22,train,4.309545,0.21
23,train,4.276192,0.21
24,train,4.250784,0.21
25,train,4.247913,0.21
26,train,4.229064,0.21
27,train,4.233886,0.21
28,train,4.227759,0.21
29,train,4.216660,0.21
30,train,4.216515,0.21
31,train,4.221802,0.21
32,train,4.208193,0.21
33,train,4.205496,0.21
34,train,4.190903,0.21
35,train,4.218796,0.21
36,train,4.192240,0.21
37,train,4.175265,0.21
38,train,4.187787,0.21
39,train,4.167238,0.21
40,train,4.174447,0.21
41,train,4.100060,0.21
42,train,4.067571,0.21
43,train,4.034955,0.21
44,train,4.019317,0.21
45,train,3.956579,0.21
46,train,3.901539,0.21
47,train,3.883962,0.21
48,train,3.810566,0.21
49,train,3.817169,0.21
50,train,3.775213,0.21
51,train,3.768412,0.21
52,train,4.100057,0.21
53,train,3.842281,0.21
54,train,3.771157,0.21
55,train,3.763198,0.21
56,train,3.735966,0.21
57,train,3.712073,0.21
58,train,3.712892,0.21
59,train,3.672267,0.21
60,train,3.640141,0.21
61,train,3.641210,0.21
62,train,3.597937,0.21
63,train,3.551845,0.21
64,train,3.538385,0.21
65,train,3.540509,0.21
66,train,3.497916,0.21
67,train,3.470603,0.21
68,train,3.462098,0.21
69,train,3.405220,0.21
70,train,3.408823,0.21
71,train,3.374772,0.21
72,train,3.379803,0.21
73,train,3.344525,0.21
74,train,3.348227,0.21
75,train,3.314040,0.21
76,train,3.334974,0.21
77,train,3.322860,0.21
78,train,3.300660,0.21
79,train,3.277676,0.21
80,train,3.272529,0.21
81,train,3.267606,0.21
82,train,3.262932,0.21
83,train,3.261441,0.21
84,train,3.252368,0.21
85,train,3.237799,0.21
86,train,3.218395,0.21
87,train,3.229596,0.21
88,train,3.294678,0.21
89,train,3.261874,0.21
90,train,3.204424,0.21
91,train,3.223896,0.21
92,train,3.194373,0.21
93,train,3.194798,0.21
94,train,3.185873,0.21
95,train,3.180368,0.21
96,train,3.171215,0.21
97,train,3.133982,0.21
98,train,3.134537,0.21
99,train,3.123483,0.21
100,train,3.122859,0.21
100,val,3.160232,0.21
101,train,3.153734,0.21
102,train,3.125612,0.21
103,train,3.131715,0.21
104,train,3.118671,0.21
105,train,3.117402,0.21
106,train,3.165731,0.21
107,train,3.108140,0.21
108,train,3.224291,0.21
109,train,3.663303,0.21
110,train,4.068909,0.21
111,train,3.701627,0.21
112,train,3.418508,0.21
113,train,3.427732,0.21
114,train,3.452632,0.21
115,train,3.420034,0.21
116,train,3.390303,0.21
117,train,3.364148,0.21
118,train,3.340591,0.21
119,train,3.284786,0.21
120,train,3.288272,0.21
121,train,3.265684,0.21
122,train,3.215532,0.21
123,train,3.199950,0.21
124,train,3.189838,0.21
125,train,3.165511,0.21
126,train,3.154716,0.21
