step,split,loss,lr
0,train,9.312160,0.03
1,train,8.966988,0.03
2,train,6.155096,0.03
3,train,8.706635,0.03
4,train,10.114876,0.03
5,train,13.669674,0.03
6,train,10.835336,0.03
7,train,7.790092,0.03
8,train,7.436569,0.03
9,train,6.836127,0.03
10,train,6.276577,0.03
11,train,5.870960,0.03
12,train,5.650481,0.03
13,train,5.534243,0.03
14,train,5.574865,0.03
15,train,5.368890,0.03
16,train,5.276458,0.03
17,train,4.956803,0.03
18,train,4.961221,0.03
19,train,5.050414,0.03
20,train,5.055409,0.03
21,train,4.681896,0.03
22,train,4.722407,0.03
23,train,4.716700,0.03
24,train,4.750619,0.03
25,train,4.472808,0.03
26,train,4.492139,0.03
27,train,4.356236,0.03
28,train,4.308557,0.03
29,train,4.560058,0.03
30,train,4.389079,0.03
31,train,4.389018,0.03
32,train,4.349914,0.03
33,train,4.392268,0.03
34,train,4.371861,0.03
35,train,4.395280,0.03
36,train,4.182925,0.03
37,train,4.390951,0.03
38,train,4.226042,0.03
39,train,4.455730,0.03
40,train,4.467451,0.03
41,train,4.262911,0.03
42,train,4.338053,0.03
43,train,4.266853,0.03
44,train,4.223327,0.03
45,train,4.535170,0.03
46,train,4.378400,0.03
47,train,4.195715,0.03
48,train,4.345640,0.03
49,train,4.216726,0.03
50,train,4.262844,0.03
51,train,4.261593,0.03
52,train,4.231618,0.03
53,train,4.202691,0.03
54,train,4.297115,0.03
55,train,4.299961,0.03
56,train,4.425641,0.03
57,train,4.291095,0.03
58,train,4.321513,0.03
59,train,4.239640,0.03
60,train,4.177774,0.03
61,train,4.289071,0.03
62,train,4.338978,0.03
63,train,4.296916,0.03
64,train,4.156025,0.03
65,train,4.199858,0.03
66,train,4.288350,0.03
67,train,4.337959,0.03
68,train,4.296484,0.03
69,train,4.269213,0.03
70,train,4.064070,0.03
71,train,4.326323,0.03
72,train,4.392724,0.03
73,train,4.331164,0.03
74,train,4.400658,0.03
75,train,4.415591,0.03
76,train,4.194098,0.03
77,train,4.305318,0.03
78,train,4.180813,0.03
79,train,4.257402,0.03
80,train,4.294261,0.03
81,train,4.206876,0.03
82,train,4.272748,0.03
83,train,4.381558,0.03
84,train,4.141181,0.03
85,train,4.056912,0.03
86,train,4.181432,0.03
87,train,4.158942,0.03
88,train,4.062532,0.03
89,train,4.062794,0.03
90,train,4.263345,0.03
91,train,4.053779,0.03
92,train,4.079968,0.03
93,train,4.044760,0.03
94,train,3.959132,0.03
95,train,3.914367,0.03
96,train,4.016041,0.03
97,train,3.838925,0.03
98,train,3.943536,0.03
99,train,4.048805,0.03
100,train,3.871124,0.03
100,val,3.796288,0.03
101,train,3.886024,0.03
102,train,3.838376,0.03
103,train,3.736215,0.03
104,train,3.712834,0.03
105,train,3.688035,0.03
106,train,3.653428,0.03
107,train,3.506148,0.03
108,train,3.887428,0.03
109,train,3.629226,0.03
110,train,3.666144,0.03
111,train,3.742059,0.03
112,train,3.808199,0.03
113,train,3.539315,0.03
114,train,3.703512,0.03
115,train,3.630460,0.03
116,train,3.617487,0.03
117,train,3.697266,0.03
118,train,3.604919,0.03
119,train,3.842172,0.03
120,train,3.736483,0.03
121,train,4.080655,0.03
122,train,3.627086,0.03
123,train,3.563807,0.03
124,train,3.600472,0.03
125,train,3.580151,0.03
126,train,3.526278,0.03
127,train,3.515602,0.03
128,train,3.574307,0.03
129,train,3.667157,0.03
130,train,3.611993,0.03
131,train,3.549845,0.03
132,train,3.729497,0.03
133,train,3.497653,0.03
134,train,3.556691,0.03
135,train,3.646997,0.03
136,train,3.503600,0.03
137,train,3.618283,0.03
138,train,3.340124,0.03
139,train,3.417005,0.03
140,train,3.435941,0.03
141,train,3.335217,0.03
142,train,3.650056,0.03
143,train,3.436771,0.03
144,train,3.437956,0.03
145,train,3.442611,0.03
146,train,3.605586,0.03
147,train,3.565044,0.03
148,train,3.430079,0.03
149,train,3.368539,0.03
150,train,3.394298,0.03
151,train,3.696279,0.03
152,train,3.393911,0.03
153,train,3.517009,0.03
154,train,3.445441,0.03
155,train,3.415817,0.03
156,train,3.357663,0.03
157,train,3.509607,0.03
158,train,3.669563,0.03
159,train,3.381581,0.03
160,train,3.506384,0.03
161,train,3.501845,0.03
162,train,3.504564,0.03
163,train,3.559138,0.03
164,train,3.302144,0.03
165,train,3.331597,0.03
166,train,3.303329,0.03
167,train,3.605446,0.03
168,train,3.518257,0.03
169,train,3.372893,0.03
170,train,3.408905,0.03
171,train,3.505248,0.03
172,train,3.284425,0.03
173,train,3.354463,0.03
174,train,3.169235,0.03
175,train,3.272887,0.03
176,train,3.410889,0.03
177,train,3.299783,0.03
178,train,3.201869,0.03
179,train,3.360723,0.03
180,train,3.308640,0.03
181,train,3.243155,0.03
182,train,3.186701,0.03
183,train,3.359711,0.03
184,train,3.353320,0.03
185,train,3.255612,0.03
186,train,3.286089,0.03
187,train,3.217232,0.03
188,train,3.123482,0.03
189,train,3.227673,0.03
190,train,3.305904,0.03
191,train,3.251439,0.03
192,train,3.522146,0.03
193,train,3.310945,0.03
194,train,3.310073,0.03
195,train,3.237474,0.03
196,train,3.171764,0.03
197,train,3.265107,0.03
198,train,3.153725,0.03
199,train,3.182027,0.03
200,train,3.293260,0.03
200,val,3.282508,0.03
201,train,3.209447,0.03
202,train,3.284066,0.03
203,train,3.202012,0.03
204,train,3.458376,0.03
205,train,3.450248,0.03
206,train,3.178067,0.03
207,train,3.312325,0.03
208,train,3.358275,0.03
209,train,3.192560,0.03
210,train,3.087345,0.03
211,train,3.430897,0.03
212,train,3.213282,0.03
213,train,3.115751,0.03
214,train,3.230608,0.03
215,train,3.129011,0.03
216,train,3.246082,0.03
217,train,3.167459,0.03
218,train,3.177164,0.03
219,train,3.273817,0.03
220,train,3.067203,0.03
221,train,3.446894,0.03
222,train,3.494965,0.03
223,train,3.380867,0.03
224,train,3.113689,0.03
225,train,3.306118,0.03
226,train,3.417698,0.03
227,train,3.188678,0.03
228,train,3.106374,0.03
229,train,3.219759,0.03
230,train,3.202393,0.03
231,train,3.141826,0.03
232,train,3.184225,0.03
233,train,3.116217,0.03
234,train,2.958254,0.03
235,train,3.168300,0.03
236,train,2.956042,0.03
237,train,3.039992,0.03
238,train,3.204622,0.03
239,train,3.061707,0.03
240,train,3.087114,0.03
241,train,3.074551,0.03
242,train,3.020369,0.03
243,train,3.048616,0.03
244,train,3.206843,0.03
245,train,3.103920,0.03
246,train,3.301241,0.03
247,train,3.114031,0.03
248,train,3.235603,0.03
249,train,3.099625,0.03
250,train,3.152826,0.03
251,train,3.119602,0.03
252,train,3.260520,0.03
253,train,3.106514,0.03
254,train,3.118305,0.03
255,train,3.132205,0.03
256,train,3.030702,0.03
257,train,3.096711,0.03
258,train,2.925848,0.03
259,train,3.241784,0.03
260,train,2.908267,0.03
261,train,2.946198,0.03
262,train,3.003049,0.03
263,train,2.799034,0.03
264,train,3.280191,0.03
265,train,3.051863,0.03
266,train,3.315639,0.03
267,train,3.059030,0.03
268,train,3.044807,0.03
269,train,3.277623,0.03
270,train,3.379511,0.03
271,train,2.991999,0.03
272,train,3.105036,0.03
273,train,3.052464,0.03
274,train,3.136017,0.03
275,train,3.046534,0.03
276,train,3.016543,0.03
277,train,2.951783,0.03
278,train,2.994414,0.03
279,train,3.150543,0.03
280,train,3.179058,0.03
281,train,3.027921,0.03
282,train,2.846801,0.03
283,train,3.140693,0.03
284,train,3.053121,0.03
285,train,3.097635,0.03
286,train,2.946095,0.03
287,train,3.308832,0.03
288,train,2.994144,0.03
289,train,2.975909,0.03
290,train,3.149389,0.03
291,train,3.262861,0.03
292,train,2.971509,0.03
293,train,2.793230,0.03
294,train,2.916792,0.03
295,train,2.906806,0.03
296,train,3.068463,0.03
297,train,2.743561,0.03
298,train,3.196645,0.03
299,train,3.025414,0.03
300,train,3.012990,0.03
300,val,2.963525,0.03
301,train,3.050886,0.03
302,train,2.827730,0.03
303,train,2.823571,0.03
304,train,2.942603,0.03
305,train,2.934832,0.03
306,train,3.003250,0.03
307,train,2.916752,0.03
308,train,3.001526,0.03
309,train,2.825043,0.03
310,train,3.140346,0.03
311,train,3.069960,0.03
312,train,2.977369,0.03
313,train,2.859649,0.03
314,train,2.943363,0.03
315,train,2.974248,0.03
316,train,2.947134,0.03
317,train,2.591478,0.03
318,train,3.023166,0.03
319,train,2.906318,0.03
320,train,3.075093,0.03
321,train,2.657848,0.03
322,train,3.025820,0.03
323,train,2.722073,0.03
324,train,2.768785,0.03
325,train,3.046215,0.03
326,train,2.688370,0.03
327,train,2.932607,0.03
328,train,2.866747,0.03
329,train,2.864223,0.03
330,train,2.913539,0.03
331,train,2.910539,0.03
332,train,3.064759,0.03
333,train,2.843136,0.03
334,train,2.651968,0.03
335,train,2.710169,0.03
336,train,2.730318,0.03
337,train,2.718235,0.03
338,train,2.907478,0.03
339,train,3.077589,0.03
340,train,2.859355,0.03
341,train,2.738937,0.03
342,train,2.719079,0.03
343,train,2.769241,0.03
344,train,2.774316,0.03
345,train,3.034761,0.03
346,train,2.724082,0.03
347,train,2.803767,0.03
348,train,2.814631,0.03
349,train,2.843429,0.03
350,train,2.778843,0.03
351,train,2.872565,0.03
352,train,3.107902,0.03
353,train,2.775332,0.03
354,train,2.786945,0.03
355,train,2.888010,0.03
356,train,3.239968,0.03
357,train,2.944957,0.03
358,train,2.788294,0.03
359,train,2.705766,0.03
360,train,2.854167,0.03
361,train,2.879901,0.03
362,train,2.863014,0.03
363,train,2.800658,0.03
364,train,2.915676,0.03
365,train,2.775496,0.03
366,train,2.797889,0.03
367,train,2.508969,0.03
368,train,2.910302,0.03
369,train,2.925990,0.03
370,train,3.064518,0.03
371,train,2.858845,0.03
372,train,2.775649,0.03
373,train,2.808259,0.03
374,train,2.890263,0.03
375,train,2.707509,0.03
376,train,2.587224,0.03
377,train,2.860895,0.03
378,train,2.700862,0.03
379,train,2.852745,0.03
380,train,2.826818,0.03
381,train,3.093909,0.03
382,train,2.789924,0.03
383,train,2.691842,0.03
384,train,2.615081,0.03
385,train,2.781240,0.03
386,train,2.819491,0.03
387,train,2.650230,0.03
388,train,2.855597,0.03
389,train,2.850472,0.03
390,train,2.955432,0.03
391,train,2.759269,0.03
392,train,2.922943,0.03
393,train,2.766065,0.03
394,train,2.971950,0.03
395,train,2.813402,0.03
396,train,2.699520,0.03
397,train,2.758750,0.03
398,train,2.738368,0.03
399,train,2.724346,0.03
400,train,2.697650,0.03
400,val,2.749761,0.03
401,train,2.837182,0.03
402,train,2.869541,0.03
403,train,2.649269,0.03
404,train,2.635532,0.03
405,train,2.681992,0.03
406,train,2.723817,0.03
407,train,2.747766,0.03
408,train,2.921731,0.03
409,train,2.787302,0.03
410,train,2.959519,0.03
411,train,2.779360,0.03
412,train,2.667221,0.03
413,train,2.748823,0.03
414,train,2.776420,0.03
415,train,2.597089,0.03
416,train,3.020924,0.03
417,train,2.594160,0.03
418,train,2.644386,0.03
419,train,2.584114,0.03
420,train,2.732882,0.03
421,train,2.620225,0.03
422,train,2.628434,0.03
423,train,2.846004,0.03
424,train,2.592185,0.03
