step,split,loss,lr
0,train,9.352299,0.01
1,train,16.310837,0.01
2,train,106.628174,0.01
3,train,81.575729,0.01
4,train,244.406235,0.01
5,train,336.478271,0.01
6,train,589.706299,0.01
7,train,241.411804,0.01
8,train,195.738434,0.01
9,train,127.251968,0.01
10,train,122.783218,0.01
11,train,125.885925,0.01
12,train,106.632370,0.01
13,train,266.589661,0.01
14,train,278.437927,0.01
15,train,310.129578,0.01
16,train,253.852020,0.01
17,train,314.120300,0.01
18,train,266.968903,0.01
19,train,291.751495,0.01
20,train,332.125427,0.01
21,train,271.344788,0.01
22,train,234.453049,0.01
23,train,287.244659,0.01
24,train,206.658020,0.01
25,train,182.542542,0.01
26,train,165.506729,0.01
27,train,155.036484,0.01
28,train,146.568726,0.01
29,train,158.497711,0.01
30,train,540.067383,0.01
31,train,186.184235,0.01
32,train,228.133270,0.01
33,train,226.363174,0.01
34,train,199.912659,0.01
35,train,183.901657,0.01
36,train,176.483215,0.01
37,train,166.863068,0.01
38,train,145.369720,0.01
39,train,128.735657,0.01
40,train,110.092316,0.01
41,train,103.276413,0.01
42,train,101.859146,0.01
43,train,99.144859,0.01
44,train,97.757263,0.01
45,train,98.842857,0.01
46,train,105.193733,0.01
47,train,94.777069,0.01
48,train,92.609909,0.01
49,train,95.534355,0.01
50,train,93.787872,0.01
51,train,84.048477,0.01
52,train,76.973633,0.01
53,train,78.614647,0.01
54,train,73.178070,0.01
55,train,69.526802,0.01
56,train,64.121117,0.01
57,train,59.939857,0.01
58,train,56.175888,0.01
59,train,51.428719,0.01
60,train,48.630489,0.01
61,train,48.629601,0.01
62,train,47.274994,0.01
63,train,43.378799,0.01
64,train,40.190605,0.01
65,train,40.251751,0.01
66,train,42.929863,0.01
67,train,39.677124,0.01
68,train,44.703648,0.01
69,train,37.450333,0.01
70,train,36.013916,0.01
71,train,39.985001,0.01
72,train,46.704681,0.01
73,train,37.071873,0.01
74,train,40.735352,0.01
75,train,34.895149,0.01
76,train,34.195343,0.01
77,train,34.128510,0.01
78,train,31.725849,0.01
79,train,66.659958,0.01
80,train,103.690567,0.01
81,train,105.130028,0.01
82,train,82.284409,0.01
83,train,70.327255,0.01
84,train,73.242088,0.01
85,train,73.274529,0.01
86,train,60.262451,0.01
87,train,66.006889,0.01
88,train,58.434837,0.01
89,train,69.076363,0.01
90,train,67.058411,0.01
91,train,70.084656,0.01
92,train,54.303268,0.01
93,train,52.186882,0.01
94,train,57.259125,0.01
95,train,46.996948,0.01
96,train,48.187958,0.01
97,train,41.641521,0.01
98,train,39.831543,0.01
99,train,38.034485,0.01
100,train,37.529793,0.01
100,val,33.335893,0.01
101,train,33.310341,0.01
102,train,33.962364,0.01
103,train,31.793560,0.01
104,train,29.972076,0.01
105,train,30.075298,0.01
106,train,28.829554,0.01
107,train,28.514942,0.01
108,train,27.367962,0.01
109,train,24.811745,0.01
110,train,23.911539,0.01
111,train,23.145687,0.01
112,train,23.313511,0.01
113,train,26.270012,0.01
114,train,23.456705,0.01
115,train,20.280367,0.01
116,train,22.455578,0.01
117,train,22.378674,0.01
118,train,25.090698,0.01
119,train,22.845348,0.01
120,train,20.090527,0.01
121,train,19.136585,0.01
122,train,16.786135,0.01
123,train,17.053082,0.01
124,train,16.558147,0.01
125,train,14.180714,0.01
126,train,13.169415,0.01
127,train,11.555739,0.01
128,train,11.580286,0.01
129,train,11.420447,0.01
130,train,11.250569,0.01
131,train,9.960725,0.01
132,train,10.451608,0.01
133,train,10.099726,0.01
134,train,9.110077,0.01
135,train,9.368685,0.01
136,train,8.980856,0.01
137,train,8.238954,0.01
138,train,8.396358,0.01
139,train,9.315334,0.01
140,train,7.662995,0.01
141,train,9.041756,0.01
142,train,9.397114,0.01
143,train,8.657522,0.01
144,train,8.171655,0.01
145,train,7.738415,0.01
146,train,7.583525,0.01
147,train,7.413371,0.01
148,train,7.560687,0.01
149,train,7.166182,0.01
150,train,6.995638,0.01
151,train,6.708234,0.01
152,train,6.903171,0.01
153,train,6.581621,0.01
154,train,6.611869,0.01
155,train,6.234918,0.01
156,train,6.046183,0.01
157,train,5.703521,0.01
158,train,5.750980,0.01
159,train,5.443736,0.01
160,train,5.387469,0.01
161,train,5.309131,0.01
162,train,5.299666,0.01
163,train,5.127830,0.01
164,train,5.024598,0.01
165,train,5.119750,0.01
166,train,5.096673,0.01
167,train,4.856896,0.01
168,train,4.802432,0.01
169,train,4.815855,0.01
170,train,4.807890,0.01
171,train,4.669899,0.01
172,train,4.692052,0.01
173,train,4.588511,0.01
174,train,4.583280,0.01
175,train,4.501071,0.01
176,train,4.469363,0.01
177,train,4.325739,0.01
178,train,4.389921,0.01
179,train,4.435804,0.01
180,train,4.384265,0.01
181,train,4.352631,0.01
182,train,4.308030,0.01
183,train,4.227242,0.01
184,train,4.239321,0.01
185,train,4.277052,0.01
186,train,4.252545,0.01
187,train,4.221725,0.01
188,train,4.126783,0.01
189,train,4.190572,0.01
190,train,4.203313,0.01
191,train,4.165447,0.01
192,train,4.127537,0.01
193,train,4.171500,0.01
194,train,4.137379,0.01
195,train,4.101340,0.01
196,train,4.074609,0.01
197,train,4.039417,0.01
198,train,4.045334,0.01
199,train,4.032839,0.01
200,train,4.047841,0.01
200,val,4.012856,0.01
201,train,4.031534,0.01
202,train,4.002033,0.01
203,train,4.012321,0.01
204,train,4.007439,0.01
205,train,3.983680,0.01
206,train,3.961207,0.01
207,train,3.976793,0.01
208,train,3.967646,0.01
209,train,3.953342,0.01
210,train,3.943890,0.01
211,train,3.929288,0.01
212,train,3.913435,0.01
213,train,3.934844,0.01
214,train,3.920954,0.01
215,train,3.914796,0.01
216,train,3.928314,0.01
217,train,3.905159,0.01
218,train,3.896194,0.01
219,train,3.899754,0.01
220,train,3.886482,0.01
221,train,3.868628,0.01
222,train,3.878530,0.01
223,train,3.893123,0.01
224,train,3.875597,0.01
225,train,3.870365,0.01
226,train,3.893585,0.01
227,train,3.868029,0.01
228,train,3.881972,0.01
229,train,3.876779,0.01
230,train,3.873307,0.01
